===============================================================
           Sistemas Distribuí­dos Prof. Elias
          LOG do Trabalho Prático 0, Tarefa 0
      Digitar, compilar e executar o programa tempo.c
   Este programa foi executado para: N=20 processos.
           Tempo Total de Simulação = 1200
===============================================================
[86.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[87.0, Proc. 1, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 0
[87.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[88.0, Proc. 2, Rodada 1, Sorteio:  0  0  1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 1
[88.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[89.0, Proc. 3, Rodada 1, Sorteio:  0  0  1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Processo 3 e recebeu mensagem de 2 com nova rodada e nao sou candidato
[89.0, Proc.14, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0 -1 -1 -1 -1  0  ]: Recebido mensagem de 13
[90.0, Proc.15, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0 -1 -1 -1  0  ]: Recebido mensagem de 14
[90.0, Proc. 6, Rodada 0, Sorteio:  1  0  1  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 5
[91.0, Proc.16, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1 -1 -1  0  ]: Recebido mensagem de 15
[91.0, Proc. 7, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 6
[92.0, Proc.17, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1  0  0  1  1 -1  0  ]: Recebido mensagem de 16
[92.0, Proc. 8, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 7
[93.0, Proc. 9, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0 -1 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 8
[94.0, Proc.19, Rodada 1, Sorteio: -1  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 18
[94.0, Proc.10, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0 -1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 9
[95.0, Proc. 0, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 19
[95.0, Proc.11, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1 -1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 10
[96.0, Proc. 1, Rodada 1, Sorteio:  0  0 -1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 0
[96.0, Proc.12, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1 -1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 11
[97.0, Proc. 2, Rodada 1, Sorteio:  0  0  1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 1
[97.0, Proc.13, Rodada 0, Sorteio:  1  0  1  0  1  0  0  0  1  0  0  1  1  1 -1 -1 -1 -1 -1  0  ]: Recebido mensagem de 12
[98.0, Proc. 3, Rodada 1, Sorteio:  0  0  1  0 -1  0  0  0 -1  0  0 -1 -1 -1  0  0 -1 -1  0  0  ]: Recebido mensagem de 2
